Date,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
2019-01-01,,,,,,,,,,,3.51554,3.45152,3.02768,8.36806,11.02968,10.95409,12.3612,9.38039,6.7866,3.73263,4.20168,6.0024,6.0024,3.80152
2019-01-02,,,,,,1.06072,7.34284,8.073,10.75761,20.7757,16.75676,8.69116,5.4848,6.49981,10.23954,12.408,12.408,9.48714,5.9202,2.81788,6.2343,1.643,,
2019-01-03,,,,,,0.06969,1.3938,6.35407,7.96855,11.95356,21.49379,24.37158,33.06133,24.05072,14.02036,14.26897,10.23278,8.03844,6.86675,13.79666,8.51358,4.92492,,
2019-01-04,,,,,,0.8983,5.0061,6.79905,7.98048,9.26498,14.79712,14.1755,5.022,15.61674,14.595,17.44139,21.90835,18.63963,15.94409,3.44714,,5.149,5.86986,
2019-01-05,6.609,0.55075,,,,,,6.13928,,11.43851,11.8138,6.58421,11.94723,11.82453,4.93845,12.97806,7.81084,7.75665,7.96596,8.37716,6.609,6.609,6.609,6.609
2019-01-06,,,,,,,,,3.7876,8.50626,13.21236,30.80199,30.8765,15.74286,19.94507,17.02572,8.76958,11.98021,11.93567,3.67351,,,,
2019-01-07,,,,,,0.15702,,3.9028,12.18499,22.34169,15.56439,18.91615,26.33464,34.64251,29.72375,18.30667,6.97057,5.8554,18.41288,21.16569,10.72363,5.27914,,
2019-01-08,,,,,,1.52511,3.1554,4.89888,9.28608,17.29072,2.7566,6.45588,8.5248,9.80615,11.42266,16.55836,6.78825,9.45587,16.32727,25.41648,19.60716,11.41395,,
2019-01-09,5.2416,0.52416,,2.00362,3.5358,3.73876,11.51571,17.3464,17.20737,22.18146,10.99045,23.8763,26.73381,18.5821,16.01074,21.79164,19.24928,12.61071,29.90338,20.8004,15.79117,9.97075,9.0828,6.522
2019-01-10,,,,,4.99273,7.07185,9.18265,8.65162,13.79172,22.51902,10.18301,8.53409,17.71565,21.48201,17.7894,14.87636,10.49857,10.33791,15.74376,19.35283,13.4277,5.9621,,
